bird_y,bird_vertical_movement,pipe_y,pipe_dist,space_pressed
513,-10.199999999999996,512,107.0,0
503,-9.399999999999997,512,99.0,0
495,-8.599999999999994,512,91.0,0
487,-7.799999999999994,512,83.0,0
480,-6.999999999999995,512,75.0,0
474,-6.199999999999995,512,67.0,0
468,-5.399999999999995,512,59.0,0
464,-4.599999999999995,512,51.0,0
460,-3.7999999999999954,512,43.0,0
457,-2.999999999999996,512,35.0,0
455,-2.1499999999999955,512,26.5,0
453,-1.3499999999999954,512,18.5,0
453,-0.5499999999999954,512,10.5,0
453,0.2500000000000046,512,2.5,0
454,1.1000000000000048,512,-6.0,0
456,1.9500000000000048,512,-14.5,0
459,2.750000000000005,512,-22.5,0
463,3.550000000000005,512,-30.5,0
467,4.350000000000005,512,-38.5,0
472,5.150000000000005,512,-46.5,0
478,5.950000000000005,512,-54.5,0
485,6.800000000000004,512,-63.0,0
492,7.600000000000004,512,-71.0,0
501,8.450000000000005,512,-79.5,0
510,9.300000000000004,512,-88.0,1
496,-14.15,512,-96.5,0
483,-13.35,300,493.0,0
470,-12.55,300,485.0,0
458,-11.7,300,476.5,0
447,-10.9,300,468.5,0
437,-10.05,300,460.0,0
428,-9.249999999999998,300,452.0,0
420,-8.449999999999998,300,444.0,0
412,-7.599999999999998,300,435.5,0
405,-6.749999999999998,300,427.0,0
399,-5.899999999999999,300,418.5,0
394,-5.099999999999999,300,410.5,0
390,-4.249999999999998,300,402.0,0
387,-3.399999999999998,300,393.5,0
384,-2.599999999999998,300,385.5,0
382,-1.7999999999999978,300,377.5,0
381,-0.9999999999999978,300,369.5,0
381,-0.1499999999999977,300,361.0,0
382,0.7000000000000024,300,352.5,0
383,1.5000000000000024,300,344.5,0
386,2.3000000000000025,300,336.5,0
389,3.1500000000000026,300,328.0,0
393,4.000000000000003,300,319.5,0
398,4.850000000000003,300,311.0,0
403,5.700000000000003,300,302.5,0
410,6.5500000000000025,300,294.0,0
417,7.400000000000002,300,285.5,1
403,-14.15,300,277.0,0
390,-13.35,300,269.0,0
377,-12.55,300,261.0,0
366,-11.749999999999998,300,253.0,0
355,-10.949999999999998,300,245.0,0
344,-10.149999999999997,300,237.0,0
335,-9.349999999999996,300,229.0,0
327,-8.549999999999995,300,221.0,0
319,-7.749999999999996,300,213.0,0
312,-6.949999999999996,300,205.0,0
306,-6.149999999999996,300,197.0,0
300,-5.349999999999996,300,189.0,0
296,-4.549999999999996,300,181.0,0
292,-3.749999999999997,300,173.0,0
289,-2.9499999999999966,300,165.0,0
287,-2.149999999999997,300,157.0,0
286,-1.3499999999999968,300,149.0,0
285,-0.4999999999999966,300,140.5,0
285,0.3000000000000034,300,132.5,0
286,1.1000000000000034,300,124.5,0
288,1.900000000000004,300,116.5,0
291,2.700000000000004,300,108.5,0
295,3.550000000000004,300,100.0,0
299,4.350000000000004,300,92.0,0
304,5.150000000000004,300,84.0,0
310,6.000000000000004,300,75.5,0
317,6.850000000000003,300,67.0,0
325,7.650000000000003,300,59.0,0
333,8.500000000000004,300,50.5,0
342,9.350000000000003,300,42.0,1
328,-14.2,300,34.0,0
315,-13.35,300,25.5,0
302,-12.5,300,17.0,0
291,-11.7,300,9.0,0
280,-10.9,300,1.0,0
270,-10.099999999999998,300,-7.0,0
260,-9.299999999999995,300,-15.0,0
252,-8.449999999999998,300,-23.5,0
244,-7.649999999999998,300,-31.5,0
238,-6.799999999999997,300,-40.0,0
232,-5.999999999999997,300,-48.0,0
226,-5.1999999999999975,300,-56.0,0
222,-4.399999999999998,300,-64.0,0
218,-3.5499999999999976,300,-72.5,0
216,-2.699999999999997,300,-81.0,0
214,-1.8499999999999968,300,-89.5,0
213,-0.9999999999999972,300,-98.0,0
213,-0.1499999999999972,300,498.0,0
213,0.7000000000000028,300,489.5,0
215,1.550000000000003,300,481.0,0
217,2.400000000000003,300,472.5,0
221,3.200000000000003,300,464.5,0
225,4.000000000000003,300,456.5,0
229,4.8000000000000025,300,448.5,0
235,5.600000000000002,300,440.5,0
